Name,Status,District
Abiramam,Town Panchayat,Ramanathapuram
Acharapakkam,Town Panchayat,Kanchipuram
Achipatti,Census Town,Coimbatore
Adaikkakuzhi,Census Town,Kanniyakumari
Adikaratti,Town Panchayat,The Nilgiris
Adiramapattinam (Adirampattinam),Town Panchayat,Thanjavur
Adiyanuthu,Census Town,Dindigul
Aduthurai (Maruthuvakudi),Town Panchayat,Thanjavur
Agaram,Town Panchayat,Dindigul
Agastheeswaram,Town Panchayat,Kanniyakumari
Alagappapuram (Azhagappapuram),Town Panchayat,Kanniyakumari
Alamathi,Census Town,Thiruvallur
Alamelumangapuram,Census Town,Vellore
Alampalayam,Town Panchayat,Namakkal
Alandur,Municipality,Kanchipuram
Alanganallur,Town Panchayat,Madurai
Alangayam,Town Panchayat,Vellore
Alangudi,Town Panchayat,Pudukkottai
Alangulam,Census Town,Virudhunagar
Alangulam,Town Panchayat,Tirunelveli
Alanthurai,Town Panchayat,Coimbatore
Alapakkam,Census Town,Kanchipuram
Allapuram,Town Panchayat,Vellore
Alur (Aloor),Town Panchayat,Kanniyakumari
Alwarkurichi,Town Panchayat,Tirunelveli
Alwarthirunagiri,Town Panchayat,Thoothukkudi
Amathur,Census Town,Virudhunagar
Ambasamudram,Municipality,Tirunelveli
Ambattur,Municipality,Thiruvallur
Ambur,Municipality,Vellore
Ammainaickanur,Town Panchayat,Dindigul
Ammanur,Census Town,Vellore
Ammapattinam,Census Town,Pudukkottai
Ammapettai,Town Panchayat,Erode
Ammapettai,Town Panchayat,Thanjavur
Ammavarikuppam,Census Town,Thiruvallur
Ammoor,Town Panchayat,Vellore
Anaimalai,Town Panchayat,Coimbatore
Anaiyur,Municipality,Madurai
Anaiyur,Census Town,Virudhunagar
Anakaputhur,Municipality,Kanchipuram
Ananthapuram,Town Panchayat,Viluppuram
Andankoil East,Census Town,Karur
Andipalayam,Census Town,Tiruppur
Andipatti Jakkampatti,Town Panchayat,Theni
Anjugrammam (Anjugramam),Town Panchayat,Kanniyakumari
Annalagraharam,Census Town,Thanjavur
Annamalai Nagar,Town Panchayat,Cuddalore
Annavasal,Town Panchayat,Pudukkottai
Annur,Town Panchayat,Coimbatore
Anthiyur,Town Panchayat,Erode
Anuppankulam,Census Town,Virudhunagar
Appakudal,Town Panchayat,Erode
Arachalur,Town Panchayat,Erode
Arakandanallur,Town Panchayat,Viluppuram
Arakonam (Arakkonam),Municipality,Vellore
Aralvaimozhi,Town Panchayat,Kanniyakumari
Arani,Town Panchayat,Thiruvallur
Arani (Arni),Municipality,Tiruvannamalai
Aranthangi,Municipality,Pudukkottai
Arasiramani,Town Panchayat,Salem
Arasur,Census Town,Coimbatore
Aravakurichi,Town Panchayat,Karur
Aravankad (Aruvankadu),Township,The Nilgiris
Arcot,Municipality,Vellore
Arimalam,Town Panchayat,Pudukkottai
Ariyalur,Municipality,Ariyalur
Ariyappampalayam,Town Panchayat,Erode
Ariyur,Census Town,Vellore
Arumanai,Town Panchayat,Kanniyakumari
Arumbanur,Census Town,Madurai
Arumbavur,Town Panchayat,Perambalur
Arumuganeri,Town Panchayat,Thoothukkudi
Aruppukkottai,Municipality,Virudhunagar
Asaripallam,Town Panchayat,Kanniyakumari
Ashokapuram,Census Town,Coimbatore
Athani,Town Panchayat,Erode
Athanur,Town Panchayat,Namakkal
Athimarapatti,Census Town,Thoothukkudi
Athipatti,Census Town,Virudhunagar
Athipattu,Census Town,Thiruvallur
Athivilai,Census Town,Kanniyakumari
Athur,Town Panchayat,Thoothukkudi
Athur,Town Panchayat,Kanniyakumari
Attayampatti,Town Panchayat,Salem
Attur,Municipality,Salem
Avadattur,Census Town,Salem
Avadi,Municipality,Thiruvallur
Avalapalli,Census Town,Krishnagiri
Avalpoondurai,Town Panchayat,Erode
Avanashi (Avinashi),Town Panchayat,Tiruppur
Avaniapuram,Municipality,Madurai
A. Vellalapatti (Vellalapatti),Town Panchayat,Madurai
Ayacode,Census Town,Kanniyakumari
Ayakudi,Town Panchayat,Dindigul
Ayappakkam,Census Town,Thiruvallur
Aygudi,Town Panchayat,Tirunelveli
Ayothiapattinam,Town Panchayat,Salem
Ayyalur,Town Panchayat,Dindigul
Ayyampalayam,Town Panchayat,Dindigul
Ayyampettai,Census Town,Kanchipuram
Ayyampettai,Town Panchayat,Thanjavur
Ayyappanthangal,Census Town,Kanchipuram
Azhagiapandipuram (Azhagiapandiapuram),Town Panchayat,Kanniyakumari
Balakrishnampatti,Town Panchayat,Tiruchirappalli
Balakrishnapuram,Census Town,Dindigul
Balasamudram,Town Panchayat,Dindigul
Bargur,Town Panchayat,Krishnagiri
Batlagundu,Town Panchayat,Dindigul
Belur,Town Panchayat,Salem
Bhavani,Municipality,Erode
Bhavanisagar,Town Panchayat,Erode
Bhuvanagiri,Town Panchayat,Cuddalore
Bikketti,Town Panchayat,The Nilgiris
B.Mallapuram,Town Panchayat,Dharmapuri
B. Meenakshipuram,Town Panchayat,Theni
Bodinayakanur (Bodinayakkanur),Municipality,Theni
Boothapandi,Town Panchayat,Kanniyakumari
Boothipuram,Town Panchayat,Theni
Brahmana Periya Agraharam,Town Panchayat,Erode
Chakkarapalli,Census Town,Thanjavur
Chathirareddipatti,Census Town,Virudhunagar
Chatrapatti,Census Town,Virudhunagar
Chenbagaramanputhur,Census Town,Kanniyakumari
Chengalpattu,Municipality,Kanchipuram
Chengam,Town Panchayat,Tiruvannamalai
Chengappalli,Census Town,Tiruppur
Chennagiri,Census Town,Salem
Chennai [Madras],Municipal Corporation,Chennai
Chennasamudram,Town Panchayat,Erode
Chennimalai,Town Panchayat,Erode
Cheranmadevi,Town Panchayat,Tirunelveli
Chetpet (Chettupattu),Town Panchayat,Tiruvannamalai
Chettiarpatti,Town Panchayat,Virudhunagar
Chettinaickenpatti,Census Town,Dindigul
Chettipalayam,Census Town,Tiruppur
Chettipalayam,Town Panchayat,Coimbatore
Chettithangal,Census Town,Vellore
Chidambaram,Municipality,Cuddalore
Chidambaram Nm,Census Town,Cuddalore
Chinna Anuppanadi,Census Town,Madurai
Chinnakalayamputhur,Census Town,Dindigul
Chinnakkampalayam,Town Panchayat,Tiruppur
Chinnalapatti,Town Panchayat,Dindigul
Chinnamanur,Municipality,Theni
Chinnampalayam (Chinniampalayam),Census Town,Coimbatore
Chinnamudalaipatti,Census Town,Namakkal
Chinnasalem,Town Panchayat,Viluppuram
Chinnasekkadu,Town Panchayat,Thiruvallur
Chinnathadagam,Census Town,Coimbatore
Chinnavedampatti,Town Panchayat,Coimbatore
Chinniam palayam,Census Town,Coimbatore
Chithode,Town Panchayat,Erode
Chitlapakkam,Town Panchayat,Kanchipuram
Cholapuram,Town Panchayat,Thanjavur
Choozhal,Census Town,Kanniyakumari
Coimbatore,Municipal Corporation,Coimbatore
Colachel (Kolachal),Municipality,Kanniyakumari
Coonoor,Municipality,The Nilgiris
Courtalam (Courtallam),Town Panchayat,Tirunelveli
Cuddalore,Municipality,Cuddalore
Dalavaipatti,Census Town,Salem
Damalerimuthur,Census Town,Vellore
Dasanaickenpatti,Census Town,Salem
Denkanikottai,Town Panchayat,Krishnagiri
Desur,Town Panchayat,Tiruvannamalai
Devadanapatti,Town Panchayat,Theni
Devakottai,Municipality,Sivaganga
Devarshola,Town Panchayat,The Nilgiris
Devasthanam,Census Town,Vellore
Devikapuram,Census Town,Tiruvannamalai
Devipattinam,Census Town,Ramanathapuram
Dhalavoipuram,Census Town,Virudhunagar
Dhali,Town Panchayat,Tiruppur
Dhaliyur,Town Panchayat,Coimbatore
Dharamapuram,Census Town,Kanniyakumari
Dharapadavedu,Municipality,Vellore
Dharapuram,Municipality,Tiruppur
Dharasuram (Darasuram),Town Panchayat,Thanjavur
Dharmapuri,Municipality,Dharmapuri
Dindigul,Municipality,Dindigul
Doramangalam,Census Town,Salem
Dusi,Census Town,Tiruvannamalai
Edaganasalai,Town Panchayat,Salem
Edaicode (Edaikodu),Town Panchayat,Kanniyakumari
Edakalinadu,Town Panchayat,Kanchipuram
Edappadi,Municipality,Salem
Edayanchavadi,Census Town,Thiruvallur
Elathur,Town Panchayat,Erode
Elayirampannai,Census Town,Virudhunagar
Ellakkudy,Census Town,Tiruchirappalli
Ellandaikuttai,Census Town,Namakkal
Elumalai,Town Panchayat,Madurai
Eral,Town Panchayat,Thoothukkudi
Eranapuram,Census Town,Salem
